Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`2[System.__Canon,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Adjoint",4,4,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR+<>c.<get_Body>b__7_0","3,354",4,0.88,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimX+<>c__DisplayClass9_0.<get_ControlledBody>b__2",4,4,0.00,0.00,
"Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.<get_Body>b__9_0","42,406",3,11.11,0.00,
"Microsoft.Quantum.Canon.BitSize.<get_Body>b__7_0",104,3,0.03,0.00,
"Microsoft.Quantum.Canon.CopyMostSignificantBitLE.<get_Body>b__11_0","4,238",3,1.11,0.00,
"Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","1,082",3,0.28,0.00,
"Microsoft.Quantum.Canon.ExtendedGCD.get_Snd",36,3,0.01,0.00,
"Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","2,832",3,0.74,0.00,
"Microsoft.Quantum.Canon.QFTLE.<get_AdjointBody>b__11_0","43,034",3,11.27,0.00,
"Microsoft.Quantum.Canon.Tail`1[System.__Canon].<get_Body>b__7_0",432,3,0.11,0.00,
"Microsoft.Quantum.Canon.Tail`1[System.__Canon].get_AssertBoolEqual",19,3,0.00,0.00,
"Microsoft.Quantum.Canon.WithA`1[System.__Canon].<get_Body>b__5_0","43,556",3,11.41,0.00,
"Microsoft.Quantum.Primitive.CNOT.<get_ControlledBody>b__11_0",724,3,0.19,0.00,
"Microsoft.Quantum.Primitive.CNOT.get_Body",39,3,0.01,0.00,
"Microsoft.Quantum.Primitive.CNOT.get_X",36,3,0.01,0.00,
"Microsoft.Quantum.Primitive.R1Frac.get_ControlledAdjointBody",19,3,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].get_ControlledBody",3,3,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`2[System.Int64,System.__Canon],System.__Canon].get_AdjointBody",3,3,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].Partial",619,3,0.16,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Boolean,System.Boolean,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","1,926",3,0.50,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].Apply","5,224",3,1.37,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","4,706",3,1.23,0.00,
"Microsoft.Quantum.Simulation.Core.PartialApplication`3[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon]..ctor",31,3,0.01,0.00,
"Microsoft.Quantum.Simulation.Core.PartialCapturedQubits`2+<>c__DisplayClass1_0[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]].<.ctor>b__0",875,3,0.23,0.00,
"Microsoft.Quantum.Simulation.Core.PartialMapper.Combine",8,3,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c__DisplayClass8_0`2[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]].<Create>b__0",379,3,0.10,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.__Canon].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Controlled",3,3,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`2[System.Int64,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Adjoint",3,3,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`2[System.Int64,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Controlled",3,3,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.<get_AdjointBody>b__9_0","1,505",3,0.39,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.get_Body",6,3,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase+Allocate.Apply",3,3,0.00,0.00,
"System.ValueTuple`3[System.Boolean,System.Boolean,System.__Canon]..ctor",3,3,0.00,0.00,
"[hostfxr.dll]",138,2,0.04,0.00,
"Microsoft.Quantum.Canon.ApplyLEOperationOnPhaseLEA.<get_Body>b__9_0","44,942",2,11.77,0.00,
"Microsoft.Quantum.Canon.ApplyPhaseLEOperationOnLECA.<get_ControlledAdjointBody>b__13_0","70,148",2,18.38,0.00,
"Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.get_AsQubitArray",60,2,0.02,0.00,
"Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.get_Body",4,2,0.00,0.00,
"Microsoft.Quantum.Canon.ApproximateQFT.get_Body",5,2,0.00,0.00,
"Microsoft.Quantum.Canon.BoolArrFromPositiveInt.<get_Body>b__7_0",263,2,0.07,0.00,
"Microsoft.Quantum.Canon.BoolArrFromPositiveInt.get_Body",3,2,0.00,0.00,
"Microsoft.Quantum.Canon.CopyMostSignificantBitLE.get_AdjointBody",4,2,0.00,0.00,
"Microsoft.Quantum.Canon.CopyMostSignificantBitLE.get_MicrosoftQuantumPrimitiveCNOT",14,2,0.00,0.00,
"Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].<get_Body>b__5_0",379,2,0.10,0.00,
"Microsoft.Quantum.Canon.ModularAddProductPhaseLE.<get_ControlledBody>b__23_0","65,247",2,17.09,0.00,
"Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get_ApplyLEOperationOnPhaseLEA",16,2,0.00,0.00,
"Microsoft.Quantum.Canon.ModularMultiplyByConstantLE.<get_ControlledBody>b__23_0","1,46,487",2,38.37,0.00,
"Microsoft.Quantum.Canon.QFT.get_ApproximateQFT",36,2,0.01,0.00,
"Microsoft.Quantum.Canon.QFT.get_Body",2,2,0.00,0.00,
"Microsoft.Quantum.Canon.QFTLE.get_Body",8,2,0.00,0.00,
"Microsoft.Quantum.Canon.SwapReverseRegister.get_AdjointBody",4,2,0.00,0.00,
"Microsoft.Quantum.Canon.WithA`1[System.__Canon].get_AdjointBody",4,2,0.00,0.00,
"Microsoft.Quantum.Primitive.R1Frac.<get_AdjointBody>b__9_0","2,461",2,0.64,0.00,
"Microsoft.Quantum.Primitive.RFrac.get_Body",7,2,0.00,0.00,
"Microsoft.Quantum.Primitive.RFrac.get_ControlledAdjointBody",39,2,0.01,0.00,
"Microsoft.Quantum.Simulation.Common.QubitManager.Allocate",715,2,0.19,0.00,
"Microsoft.Quantum.Simulation.Common.QubitManager.Release","1,134",2,0.30,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].get_Body",2,2,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon],System.__Canon].get_Body",2,2,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`3[System.__Canon,System.__Canon,System.__Canon],System.__Canon].get_Body",2,2,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].get_Body",2,2,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.GenericOperation..ctor",69,2,0.02,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,Microsoft.Quantum.Simulation.Core.Result].Microsoft.Quantum.Simulation.Core.ICallable.Apply",41,2,0.01,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.Int64,System.Int64].Microsoft.Quantum.Simulation.Core.ICallable.Apply",126,2,0.03,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]],System.__Canon].Apply","1,41,173",2,36.98,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]]],System.__Canon].Apply","1,29,410",2,33.90,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","87,615",2,22.95,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.Int64,System.Int64],System.Int64].Microsoft.Quantum.Simulation.Core.ICallable.Apply","1,094",2,0.29,0.00,
"Microsoft.Quantum.Simulation.Core.PartialCapturedQubits`2+<>c__DisplayClass1_0[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]].<.ctor>b__0",305,2,0.08,0.00,
"Microsoft.Quantum.Simulation.Core.PartialMapper.Create",4,2,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.QArray`1[System.__Canon]..ctor",2,2,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsFullyDefined",128,2,0.03,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.__Canon].Microsoft.Quantum.Simulation.Core.IUnitary.get_Adjoint",2,2,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Controlled",2,2,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Controlled",2,2,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.get_ControlledAdjointBody",33,2,0.01,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QubitManagerBase.AllocateOneQubit",711,2,0.19,0.00,
"[clbcatq.dll]",1,1,0.00,0.00,
"[combase.dll]",6,1,0.00,0.00,
"[rpcrt4.dll]",1,1,0.00,0.00,
"[win32u.dll]",1,1,0.00,0.00,
"Microsoft.Quantum.Canon._EnableExtraAssertsForArithmetic.get_Body",2,1,0.00,0.00,
"Microsoft.Quantum.Canon.ApplyLEOperationOnPhaseLEA.<get_AdjointBody>b__11_0","45,393",1,11.89,0.00,
"Microsoft.Quantum.Canon.ApplyLEOperationOnPhaseLEA.get_AdjointBody",2,1,0.00,0.00,
"Microsoft.Quantum.Canon.ApplyLEOperationOnPhaseLEA.get_Body",3,1,0.00,0.00,
"Microsoft.Quantum.Canon.ApplyPhaseLEOperationOnLECA.<get_ControlledBody>b__11_0","70,143",1,18.37,0.00,
"Microsoft.Quantum.Canon.ApplyPhaseLEOperationOnLECA.get_QFTLE",9,1,0.00,0.00,
"Microsoft.Quantum.Canon.ApproximateQFT.get_AdjointBody",3,1,0.00,0.00,
"Microsoft.Quantum.Canon.BitSize.get_Body",2,1,0.00,0.00,
"Microsoft.Quantum.Canon.CopyMostSignificantBitLE.get_AsQubitArray",32,1,0.01,0.00,
"Microsoft.Quantum.Canon.CopyMostSignificantBitLE.get_Tail",20,1,0.01,0.00,
"Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.<get_Body>b__11_0","1,49,668",1,39.21,0.00,
"Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumPrimitiveH",3,1,0.00,0.00,
"Microsoft.Quantum.Canon.ExpMod.get_AssertBoolEqual",26,1,0.01,0.00,
"Microsoft.Quantum.Canon.ExpMod.get_Body",3,1,0.00,0.00,
"Microsoft.Quantum.Canon.ExtendedGCD.get_Body",2,1,0.00,0.00,
"Microsoft.Quantum.Canon.Fst`2[System.Int64,System.Int64].get_Body",5,1,0.00,0.00,
"Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.get_Body",2,1,0.00,0.00,
"Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.get_ControlledAdjointBody",3,1,0.00,0.00,
"Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.get_ControlledBody",5,1,0.00,0.00,
"Microsoft.Quantum.Canon.InverseMod.get_AssertBoolEqual",2,1,0.00,0.00,
"Microsoft.Quantum.Canon.InverseMod.get_Body",2,1,0.00,0.00,
"Microsoft.Quantum.Canon.ModularAddProductLE.get_ModularAddProductPhaseLE",6,1,0.00,0.00,
"Microsoft.Quantum.Canon.ModularAddProductPhaseLE.get__EnableExtraAssertsForArithmetic",2,1,0.00,0.00,
"Microsoft.Quantum.Canon.ModularAddProductPhaseLE.get_ControlledBody",1,1,0.00,0.00,
"Microsoft.Quantum.Canon.ModularAddProductPhaseLE.get_ExpMod",19,1,0.00,0.00,
"Microsoft.Quantum.Canon.ModularAddProductPhaseLE.get_ModularIncrementPhaseLE",9,1,0.00,0.00,
"Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get__EnableExtraAssertsForArithmetic",15,1,0.00,0.00,
"Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get_IntegerIncrementPhaseLE",46,1,0.01,0.00,
"Microsoft.Quantum.Canon.QFTLE.get_AdjointBody",3,1,0.00,0.00,
"Microsoft.Quantum.Canon.QFTLE.get_QFT",28,1,0.01,0.00,
"Microsoft.Quantum.Canon.RobustPhaseEstimation.<get_Body>b__25_0","1,49,767",1,39.23,0.00,
"Microsoft.Quantum.Canon.RobustPhaseEstimation.get_MicrosoftQuantumExtensionsConvertToDouble",2,1,0.00,0.00,
"Microsoft.Quantum.Canon.Snd`2[System.Int64,System.Int64].get_Body",5,1,0.00,0.00,
"Microsoft.Quantum.Canon.SwapReverseRegister.get_Body",8,1,0.00,0.00,
"Microsoft.Quantum.Extensions.Math.Native+SignI.get_Body",1,1,0.00,0.00,
"Microsoft.Quantum.Primitive.H.get_AdjointBody",1,1,0.00,0.00,
"Microsoft.Quantum.Primitive.R1Frac.get_Body",1,1,0.00,0.00,
"Microsoft.Quantum.Primitive.Reset.<get_Body>b__9_0",23,1,0.01,0.00,
"Microsoft.Quantum.Primitive.Reset.get_Body",1,1,0.00,0.00,
"Microsoft.Quantum.Primitive.Rz.get_Body",1,1,0.00,0.00,
"Microsoft.Quantum.Primitive.X.get_AdjointBody",1,1,0.00,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.OrderFindingOracle.<get_ControlledBody>b__17_0","1,49,311",1,39.11,0.00,
"Microsoft.Quantum.Samples.IntegerFactorization.OrderFindingOracle.get_MicrosoftQuantumCanonAssertBoolEqual",3,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Common.QubitManager.AllocateOneQubit",2,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Common.QubitManager.ReleaseOneQubit",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.AllocateOneQubit",11,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Adjointable`1[System.ValueTuple`2[System.__Canon,System.__Canon]].Microsoft.Quantum.Simulation.Core.IAdjointable.Partial","1,026",1,0.27,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.__Canon,System.__Canon]..ctor",6,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`3[System.__Canon,System.__Canon,System.__Canon],System.__Canon]..ctor",7,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].get_Body",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon],System.__Canon].get_Body",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.__Canon,System.__Canon].get_AdjointBody",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].<get_ControlledAdjointBody>b__13_0","64,747",1,16.96,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].get_AdjointBody",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.GenericAdjoint.CreateOperation",605,1,0.16,0.00,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Microsoft.Quantum.Simulation.Core.ICallable.Apply",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Microsoft.Quantum.Simulation.Core.ICallable.Apply","89,064",1,23.33,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.__Canon].<.ctor>b__2_1",3,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.Boolean].Microsoft.Quantum.Simulation.Core.ICallable.Apply",27,1,0.01,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]]],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","1,29,413",1,33.90,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.__Canon].Apply",268,1,0.07,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable.Apply",273,1,0.07,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.Int64].Apply","2,676",1,0.70,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.ValueTuple`2[System.Int64,System.Int64]].Apply","6,007",1,1.57,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.ValueTuple`2[System.Int64,System.Int64]].Microsoft.Quantum.Simulation.Core.ICallable.Apply","6,011",1,1.57,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.__Canon,System.__Canon,System.__Canon],System.__Canon]..ctor",8,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.__Canon,System.__Canon,System.__Canon],System.__Canon].Apply","87,408",1,22.90,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","5,228",1,1.37,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.Int64,System.Int64],System.Int64].Apply","1,088",1,0.29,0.00,
"Microsoft.Quantum.Simulation.Core.PartialApplication`3[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon],System.__Canon]..ctor",6,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.PartialApplication`3[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon],System.__Canon].<get_ControlledAdjointBody>b__18_0","65,418",1,17.14,0.00,
"Microsoft.Quantum.Simulation.Core.PartialApplication`3[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon],System.__Canon].<get_ControlledBody>b__16_0","65,308",1,17.11,0.00,
"Microsoft.Quantum.Simulation.Core.PartialApplication`3[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon],System.__Canon].GetQubits",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.PartialApplication`3[System.ValueTuple`2[System.Int64,System.__Canon],System.ValueTuple`4[System.Int64,System.Int64,System.Int64,System.__Canon],System.__Canon].<get_ControlledBody>b__16_0","1,49,455",1,39.15,0.00,
"Microsoft.Quantum.Simulation.Core.PartialMapper.PopNextArgs",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c__DisplayClass8_0`2[System.ValueTuple`2[System.Int64,System.__Canon],System.ValueTuple`4[System.Int64,System.Int64,System.Int64,System.__Canon]].<Create>b__0",149,1,0.04,0.00,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<Combine>d__7.System.Collections.Generic.IEnumerable<System.Object>.GetEnumerator",4,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.PartialUnitary`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]].Microsoft.Quantum.Simulation.Core.IAdjointable.get_Adjoint",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.QArray`1[System.__Canon].set_Item",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.QArray`1[System.Boolean]..ctor",3,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Range..ctor",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsMissing",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`2[System.__Canon,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary.get_Adjoint",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`2[System.__Canon,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Controlled",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Adjoint",1,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimX.get_Body",2,1,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimX.get_ControlledBody",24,1,0.01,0.00,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase+Release.Apply",1,1,0.00,0.00,
"System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]]..ctor",1,1,0.00,0.00,
"System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]]]..ctor",1,1,0.00,0.00,
"System.ValueTuple`2[System.Double,System.__Canon]..ctor",1,1,0.00,0.00,
"System.ValueTuple`2[System.Int64,System.__Canon]..ctor",2,1,0.00,0.00,
"System.ValueTuple`2[System.Int64,System.Int64]..ctor",1,1,0.00,0.00,
"[advapi32.dll]",1,0,0.00,0.00,
"[bcrypt.dll]",1,0,0.00,0.00,
"[bcryptprimitives.dll]",1,0,0.00,0.00,
"[cryptsp.dll]",1,0,0.00,0.00,
"[dotnet.exe]",140,0,0.04,0.00,
"[gdi32full.dll]",1,0,0.00,0.00,
"[msvcrt.dll]",1,0,0.00,0.00,
"[oleaut32.dll]",1,0,0.00,0.00,
"[user32.dll]",2,0,0.00,0.00,
"dynamicClass.IL_STUB_PInvoke",1,0,0.00,0.00,
"Microsoft.Quantum.Canon._EnableExtraAssertsForArithmetic..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Canon._EnableExtraAssertsForArithmetic.<get_Body>b__5_0",22,0,0.01,0.00,
"Microsoft.Quantum.Canon.ApplyLEOperationOnPhaseLEA.get_QFTLE",34,0,0.01,0.00,
"Microsoft.Quantum.Canon.ApplyPhaseLEOperationOnLECA..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.get_AdjointBody",1,0,0.00,0.00,
"Microsoft.Quantum.Canon.AsQubitArray..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Canon.AssertBoolEqual..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Canon.AssertHighestBit..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Canon.BitSize.get_AssertBoolEqual",6,0,0.00,0.00,
"Microsoft.Quantum.Canon.BoolArrFromPositiveInt..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Canon.BoolArrFromPositiveInt.get_AssertBoolEqual",3,0,0.00,0.00,
"Microsoft.Quantum.Canon.BoolFromResult..ctor",1,0,0.00,0.00,
"Microsoft.Quantum.Canon.ContinuedFractionConvergent..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Canon.ContinuedFractionConvergent.<get_Body>b__15_0",5,0,0.00,0.00,
"Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration..ctor",2,0,0.00,0.00,
"Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_Body",2,0,0.00,0.00,
"Microsoft.Quantum.Canon.DiscretePhaseEstimationIteration.get_MicrosoftQuantumExtensionsConvertToDouble",1,0,0.00,0.00,
